ID,Name,Last Name,Money Available,Concerts purchased,Ticket Miner,Usarname,Password
417,Adam,Bass,1120630.578525001,106,false,adambass,Fun!23
296,Adam,Maldonado,2455982.8076750026,99,false,adammaldonado,Fun!23
11,Aladdin,Disney,1299971.5190000017,110,true,aladdindisney,Fun!23
52,Alan,Gamez,1662415.9605500016,111,true,alangamez,Fun!23
249,Alejandra,Morris,1550465.5910750013,100,true,alejandramorris,Fun!23
87,Alex,Vega,1307392.450425,97,false,alexvega,Fun!23
332,Alexander,Cameron,991192.7705499998,92,false,alexandercameron,Fun!23
531,Alexander,Carter,1773506.2397,80,true,alexandercarter,Fun!23
232,Alexander,Kelly,1596110.0829500013,94,false,alexanderkelly,Fun!23
850,Alexander,Wilson,2714808.1621000012,93,true,alexanderwilson,Fun!23
958,Alexandra,Cook,2838882.5077500017,109,true,alexandracook,Fun!23
462,Alexandra,Fox,2269058.0881250007,93,false,alexandrafox,Fun!23
292,Alexandra,Robinson,2771732.665300002,109,false,alexandrarobinson,Fun!23
781,Alexandra,Simpson,2123311.2572500017,109,false,alexandrasimpson,Fun!23
771,Alexis,Black,2288097.8299500006,107,true,alexisblack,Fun!23
251,Alexis,Ford,1907610.7125499987,98,false,alexisford,Fun!23
75,Alexis,Reta,2886516.997949998,98,true,alexisreta,Fun!23
448,Alexis,Shea,1845239.5439000004,87,false,alexisshea,Fun!23
38,Ali,Nouri,1777550.6563750012,89,true,alinouri,Fun!23
384,Alicia,Jenkins,2334136.353375001,86,true,aliciajenkins,Fun!23
815,Alicia,Moran,2534861.4771750015,100,false,aliciamoran,Fun!23
849,Alison,Hicks,2482793.9660000014,93,false,alisonhicks,Fun!23
637,Allen,Arnold,1644027.2287500014,113,false,allenarnold,Fun!23
275,Allison,Chang,1701305.9853250019,96,true,allisonchang,Fun!23
403,Allison,Cross,1245889.2146750009,98,false,allisoncross,Fun!23
731,Allison,Weaver,2261838.7004250023,89,true,allisonweaver,Fun!23
791,Alyssa,Kelly,2864734.422100002,93,false,alyssakelly,Fun!23
674,Alyssa,Poole,1566338.1414000005,88,true,alyssapoole,Fun!23
470,Alyssa,Reese,2700848.7570000035,102,true,alyssareese,Fun!23
592,Alyssa,Smith,1049097.7151500012,105,true,alyssasmith,Fun!23
1037,Amanda,Baker,1141284.2122750003,92,false,amandabaker,Fun!23
913,Amanda,Johnson,2073398.271475001,82,true,amandajohnson,Fun!23
207,Amanda,Miller,1693533.9511000006,104,true,amandamiller,Fun!23
331,Amanda,Shepherd,2310546.4597250023,90,false,amandashepherd,Fun!23
542,Amanda,Vang,1220952.2292750014,108,true,amandavang,Fun!23
359,Amber,Brown,2205182.00935,97,true,amberbrown,Fun!23
943,Amber,Conley,1954061.7108500001,100,false,amberconley,Fun!23
619,Amber,Long,2775994.7445250005,99,true,amberlong,Fun!23
608,Amber,Nguyen,2055009.9698500014,102,true,ambernguyen,Fun!23
488,Amber,Sellers,2866210.8792250035,101,true,ambersellers,Fun!23
308,Amy,Bradley,1797773.2698000004,89,true,amybradley,Fun!23
541,Amy,Chase,1834306.2946499998,94,true,amychase,Fun!23
968,Amy,Fuller,1613525.7895999996,85,false,amyfuller,Fun!23
954,Amy,Hall,2967252.910174998,76,true,amyhall,Fun!23
502,Amy,Mcpherson,2505351.380925,80,true,amymcpherson,Fun!23
895,Amy,Morse,1877910.232525001,83,true,amymorse,Fun!23
847,Amy,Parsons,2798996.9420500007,83,false,amyparsons,Fun!23
476,Amy,Rodriguez,1467228.8119000008,87,true,amyrodriguez,Fun!23
940,Ana,Andrade,2456334.9208000004,111,true,anaandrade,Fun!23
899,Andre,Ramos,1959936.0420750012,92,false,andreramos,Fun!23
966,Andrea,Riley,2190662.4819250028,109,false,andreariley,Fun!23
695,Andrew,Atkins,1033670.1123250001,93,false,andrewatkins,Fun!23
236,Andrew,Campos,2724578.6052250024,101,false,andrewcampos,Fun!23
175,Andrew,Garcia,2574388.440100001,89,false,andrewgarcia,Fun!23
1001,Andrew,Hall,1150265.6879000007,96,false,andrewhall,Fun!23
616,Andrew,Marshall,1975120.5917000012,90,false,andrewmarshall,Fun!23
612,Andrew,Mcclure,2277696.8175250003,93,false,andrewmcclure,Fun!23
817,Andrew,Norris,1610830.2341000012,100,false,andrewnorris,Fun!23
201,Andrew,Parks,1030932.9106750006,110,true,andrewparks,Fun!23
583,Andrew,Torres,1248175.7554000008,90,false,andrewtorres,Fun!23
494,Angel,Barber,2007261.6351500002,92,true,angelbarber,Fun!23
370,Angel,Joseph,2571472.2046999997,107,true,angeljoseph,Fun!23
74,Angel,Ramos,1660394.2705500002,87,false,angelramos,Fun!23
743,Angela,Carney,1600363.8264000001,112,true,angelacarney,Fun!23
1032,Angela,English,1307530.5253249996,104,false,angelaenglish,Fun!23
504,Angela,Lang,2091230.1672999994,100,false,angelalang,Fun!23
473,Angela,Mcintyre,1403436.4133000001,101,true,angelamcintyre,Fun!23
543,Angela,Walker,1949406.429875001,102,false,angelawalker,Fun!23
269,Angelica,Bruce,2227651.1166500016,89,false,angelicabruce,Fun!23
752,Anita,Fletcher,2357837.925275002,88,false,anitafletcher,Fun!23
404,Anita,Stein,1257382.9875000014,109,true,anitastein,Fun!23
687,Ann,Miller,2381646.644075,108,false,annmiller,Fun!23
819,Ann,Rogers,2786617.4955000025,108,false,annrogers,Fun!23
684,Anna,Davis,1392678.9399000003,108,false,annadavis,Fun!23
238,Anna,Gutierrez,2835204.221750001,94,true,annagutierrez,Fun!23
712,Anthony,Adams,2659770.4217499997,94,true,anthonyadams,Fun!23
594,Anthony,Barber,2334673.5671250005,83,true,anthonybarber,Fun!23
593,Anthony,Brooks,2621376.95135,90,true,anthonybrooks,Fun!23
978,Anthony,Byrd,1728932.053325002,103,true,anthonybyrd,Fun!23
624,Anthony,Carson,1853564.271575001,100,false,anthonycarson,Fun!23
460,Anthony,Dalton,984726.4076500002,94,true,anthonydalton,Fun!23
389,Anthony,Hardin,2115920.397425002,104,false,anthonyhardin,Fun!23
420,Anthony,Hunter,1306376.0721000019,102,false,anthonyhunter,Fun!23
906,Anthony,Kramer,1142467.9188500012,92,true,anthonykramer,Fun!23
659,Anthony,Moore,1304252.997875002,87,true,anthonymoore,Fun!23
167,Anthony,Sanchez,2622901.2226749994,95,true,anthonysanchez,Fun!23
395,Anthony,Sims,2050299.8432500013,102,false,anthonysims,Fun!23
360,Antonio,Brooks,1560855.5503750015,102,false,antoniobrooks,Fun!23
604,Antonio,Edwards,2162433.0048249993,88,true,antonioedwards,Fun!23
914,April,Lopez,2260689.4826749996,100,false,aprillopez,Fun!23
439,April,Turner,2673083.865574998,119,true,aprilturner,Fun!23
225,Ariana,Lara,2838838.743025002,83,false,arianalara,Fun!23
9,Ariel,Disney,2599510.820525001,111,true,arieldisney,Fun!23
47,Armando,Cabrera,2401593.3581,93,false,armandocabrera,Fun!23
147,Ashley,Evans,1058575.2296750005,94,false,ashleyevans,Fun!23
946,Ashley,Frye,1465607.0981000026,110,true,ashleyfrye,Fun!23
55,Ashley,Gilmore,1196137.951425001,95,false,ashleygilmore,Fun!23
242,Ashley,Jones,1223999.5939000002,97,false,ashleyjones,Fun!23
960,Ashley,Morales,2294469.6462500016,82,false,ashleymorales,Fun!23
139,Ashley,Romero,986209.6448249999,106,false,ashleyromero,Fun!23
