Password,Money Available,Last Name,ID,Concerts Purchased,First Name,TicketMiner Membership,Username
Fun!23,1159697.17,Bass,417,0,Adam,false,adambass
Fun!23,2484415.98,Maldonado,296,0,Adam,false,adammaldonado
Fun!23,1329016.97,Disney,11,0,Aladdin,true,aladdindisney
Fun!23,1702713.65,Gamez,52,0,Alan,true,alangamez
Fun!23,1570979.69,Morris,249,0,Alejandra,true,alejandramorris
Fun!23,1336987.47,Vega,87,0,Alex,false,alexvega
Fun!23,1017102.04,Cameron,332,0,Alexander,false,alexandercameron
Fun!23,1799509.91,Carter,531,0,Alexander,true,alexandercarter
Fun!23,1625607.71,Kelly,232,0,Alexander,false,alexanderkelly
Fun!23,2733978.82,Wilson,850,0,Alexander,true,alexanderwilson
Fun!23,2856865.5,Cook,958,0,Alexandra,true,alexandracook
Fun!23,2304322.42,Fox,462,0,Alexandra,false,alexandrafox
Fun!23,2817672.19,Robinson,292,0,Alexandra,false,alexandrarobinson
Fun!23,2157205.09,Simpson,781,0,Alexandra,false,alexandrasimpson
Fun!23,2316072.69,Black,771,0,Alexis,true,alexisblack
Fun!23,1927607.8,Ford,251,0,Alexis,false,alexisford
Fun!23,2913597.39,Reta,75,0,Alexis,true,alexisreta
Fun!23,1872986.92,Shea,448,0,Alexis,false,alexisshea
Fun!23,1790899.54,Nouri,38,0,Ali,true,alinouri
Fun!23,2367693.69,Jenkins,384,0,Alicia,true,aliciajenkins
Fun!23,2557465.82,Moran,815,0,Alicia,false,aliciamoran
Fun!23,2514986.65,Hicks,849,0,Alison,false,alisonhicks
Fun!23,1677693.52,Arnold,637,0,Allen,false,allenarnold
Fun!23,1726991.08,Chang,275,0,Allison,true,allisonchang
Fun!23,1277626.61,Cross,403,0,Allison,false,allisoncross
Fun!23,2286419.19,Weaver,731,0,Allison,true,allisonweaver
Fun!23,2889816.51,Kelly,791,0,Alyssa,false,alyssakelly
Fun!23,1580942.1,Poole,674,0,Alyssa,true,alyssapoole
Fun!23,2733943.68,Reese,470,0,Alyssa,true,alyssareese
Fun!23,1076622.04,Smith,592,0,Alyssa,true,alyssasmith
Fun!23,1167995.69,Baker,1037,0,Amanda,false,amandabaker
Fun!23,2089159.9,Johnson,913,0,Amanda,true,amandajohnson
Fun!23,1727154.04,Miller,207,0,Amanda,true,amandamiller
Fun!23,2338075.16,Shepherd,331,0,Amanda,false,amandashepherd
Fun!23,1251457.41,Vang,542,0,Amanda,true,amandavang
Fun!23,2238542.62,Brown,359,0,Amber,true,amberbrown
Fun!23,1979594.66,Conley,943,0,Amber,false,amberconley
Fun!23,2801678.11,Long,619,0,Amber,true,amberlong
Fun!23,2080122.1,Nguyen,608,0,Amber,true,ambernguyen
Fun!23,2895931.18,Sellers,488,0,Amber,true,ambersellers
Fun!23,1817007.24,Bradley,308,0,Amy,true,amybradley
Fun!23,1857330.18,Chase,541,0,Amy,true,amychase
Fun!23,1638821.13,Fuller,968,0,Amy,false,amyfuller
Fun!23,2992860.8,Hall,954,0,Amy,true,amyhall
Fun!23,2527138.23,Mcpherson,502,0,Amy,true,amymcpherson
Fun!23,1894941.31,Morse,895,0,Amy,true,amymorse
Fun!23,2826306.75,Parsons,847,0,Amy,false,amyparsons
Fun!23,1499412.25,Rodriguez,476,0,Amy,true,amyrodriguez
Fun!23,2480195.68,Andrade,940,0,Ana,true,anaandrade
Fun!23,1991973.16,Ramos,899,0,Andre,false,andreramos
Fun!23,2217462.27,Riley,966,0,Andrea,false,andreariley
Fun!23,1063501.42,Atkins,695,0,Andrew,false,andrewatkins
Fun!23,2749126.75,Campos,236,0,Andrew,false,andrewcampos
Fun!23,2600286.3,Garcia,175,0,Andrew,false,andrewgarcia
Fun!23,1178711.06,Hall,1001,0,Andrew,false,andrewhall
Fun!23,2004233.39,Marshall,616,0,Andrew,false,andrewmarshall
Fun!23,2306521.66,Mcclure,612,0,Andrew,false,andrewmcclure
Fun!23,1652992.44,Norris,817,0,Andrew,false,andrewnorris
Fun!23,1051986.52,Parks,201,0,Andrew,true,andrewparks
Fun!23,1278427.82,Torres,583,0,Andrew,false,andrewtorres
Fun!23,2029948.13,Barber,494,0,Angel,true,angelbarber
Fun!23,2598224.54,Joseph,370,0,Angel,true,angeljoseph
Fun!23,1689425.47,Ramos,74,0,Angel,false,angelramos
Fun!23,1628984.13,Carney,743,0,Angela,true,angelacarney
Fun!23,1328796.66,English,1032,0,Angela,false,angelaenglish
Fun!23,2124792.82,Lang,504,0,Angela,false,angelalang
Fun!23,1427583.08,Mcintyre,473,0,Angela,true,angelamcintyre
Fun!23,1980934.08,Walker,543,0,Angela,false,angelawalker
Fun!23,2258924.52,Bruce,269,0,Angelica,false,angelicabruce
Fun!23,2390195.29,Fletcher,752,0,Anita,false,anitafletcher
Fun!23,1289444.91,Stein,404,0,Anita,true,anitastein
Fun!23,2422848.64,Miller,687,0,Ann,false,annmiller
Fun!23,2812405.46,Rogers,819,0,Ann,false,annrogers
Fun!23,1425218.76,Davis,684,0,Anna,false,annadavis
Fun!23,2863225.22,Gutierrez,238,0,Anna,true,annagutierrez
Fun!23,2682297.28,Adams,712,0,Anthony,true,anthonyadams
Fun!23,2354034.27,Barber,594,0,Anthony,true,anthonybarber
Fun!23,2651552.69,Brooks,593,0,Anthony,true,anthonybrooks
Fun!23,1763465.15,Byrd,978,0,Anthony,true,anthonybyrd
Fun!23,1891610.78,Carson,624,0,Anthony,false,anthonycarson
Fun!23,1007883.52,Dalton,460,0,Anthony,true,anthonydalton
Fun!23,2154262.45,Hardin,389,0,Anthony,false,anthonyhardin
Fun!23,1339888.67,Hunter,420,0,Anthony,false,anthonyhunter
Fun!23,1159982.18,Kramer,906,0,Anthony,true,anthonykramer
Fun!23,1328713.76,Moore,659,0,Anthony,true,anthonymoore
Fun!23,2651526.37,Sanchez,167,0,Anthony,true,anthonysanchez
Fun!23,2079590.02,Sims,395,0,Anthony,false,anthonysims
Fun!23,1603516.28,Brooks,360,0,Antonio,false,antoniobrooks
Fun!23,2187064.27,Edwards,604,0,Antonio,true,antonioedwards
Fun!23,2289198.43,Lopez,914,0,April,false,aprillopez
Fun!23,2701463.27,Turner,439,0,April,true,aprilturner
Fun!23,2873637.47,Lara,225,0,Ariana,false,arianalara
Fun!23,2619809.3,Disney,9,0,Ariel,true,arieldisney
Fun!23,2424522.57,Cabrera,47,0,Armando,false,armandocabrera
Fun!23,1088110.82,Evans,147,0,Ashley,false,ashleyevans
Fun!23,1500811.37,Frye,946,0,Ashley,true,ashleyfrye
Fun!23,1227912.26,Gilmore,55,0,Ashley,false,ashleygilmore
Fun!23,1270712.37,Jones,242,0,Ashley,false,ashleyjones
Fun!23,2314064.52,Morales,960,0,Ashley,false,ashleymorales
Fun!23,1018997.26,Romero,139,0,Ashley,false,ashleyromero
Fun!23,2446790.29,Walker,672,0,Ashley,false,ashleywalker
Fun!23,2686806.4,Wilcox,402,0,Ashley,true,ashleywilcox
Fun!23,2791637.66,Disney,14,0,Aurora,true,auroradisney
Fun!23,1360958.55,Griffin,105,0,Austin,false,austingriffin
Fun!23,2141354.86,Lewis,1013,0,Austin,false,austinlewis
Fun!23,2214561.57,Jones,469,0,Barbara,false,barbarajones
Fun!23,1219464.19,Lane,566,0,Barbara,true,barbaralane
Fun!23,1772762.67,Love,896,0,Barbara,false,barbaralove
